gene_id	gene_name	number_of_cells_expressed
ENSG00000251562	MALAT1	10545552
ENSG00000167996	FTH1	9041287
ENSG00000108654	DDX5	8701221
ENSG00000244754	N4BP2L2	8641719
ENSG00000100201	DDX17	8634102
ENSG00000080824	HSP90AA1	8617700
ENSG00000122566	HNRNPA2B1	8544874
ENSG00000115310	RTN4	8350169
ENSG00000075624	ACTB	8285827
ENSG00000171988	JMJD1C	8276177
ENSG00000132424	PNISR	8229135
ENSG00000136156	ITM2B	8152195
ENSG00000131051	RBM39	8143682
ENSG00000111640	GAPDH	8142698
ENSG00000189403	HMGB1	8119717
ENSG00000198668	CALM1	8091580
ENSG00000100354	TNRC6B	8059730
ENSG00000198804	MT-CO1	7950486
ENSG00000173812	EIF1	7911858
ENSG00000134884	ARGLU1	7839661
ENSG00000198938	MT-CO3	7827075
ENSG00000108848	LUC7L3	7813342
ENSG00000087086	FTL	7801632
ENSG00000087460	GNAS	7767928
ENSG00000005483	KMT2E	7733859
ENSG00000230590	FTX	7703506
ENSG00000187514	PTMA	7658325
ENSG00000109332	UBE2D3	7655733
ENSG00000116754	SRSF11	7651473
ENSG00000159140	SON	7650859
ENSG00000142599	RERE	7640220
ENSG00000049618	ARID1B	7639678
ENSG00000096384	HSP90AB1	7619198
ENSG00000152795	HNRNPDL	7609378
ENSG00000122545	SEPTIN7	7596118
ENSG00000109046	WSB1	7588068
ENSG00000115464	USP34	7535071
ENSG00000127603	MACF1	7506815
ENSG00000100650	SRSF5	7494594
ENSG00000177200	CHD9	7489510
ENSG00000167526	RPL13	7481060
ENSG00000127914	AKAP9	7470931
ENSG00000198712	MT-CO2	7459053
ENSG00000152601	MBNL1	7457663
ENSG00000075292	ZNF638	7445584
ENSG00000116539	ASH1L	7427833
ENSG00000085224	ATRX	7426476
ENSG00000171735	CAMTA1	7424264
ENSG00000092199	HNRNPC	7418844
ENSG00000147403	RPL10	7411975
ENSG00000198886	MT-ND4	7402391
ENSG00000182670	TTC3	7395808
ENSG00000123066	MED13L	7368632
ENSG00000048740	CELF2	7354914
ENSG00000126777	KTN1	7339904
ENSG00000099622	CIRBP	7330684
ENSG00000054267	ARID4B	7311576
ENSG00000005810	MYCBP2	7306694
ENSG00000115760	BIRC6	7299540
ENSG00000198899	MT-ATP6	7287873
ENSG00000120071	KANSL1	7279510
ENSG00000198727	MT-CYB	7275234
ENSG00000160584	SIK3	7274949
ENSG00000151914	DST	7271058
ENSG00000162434	JAK1	7262551
ENSG00000055609	KMT2C	7259531
ENSG00000156639	ZFAND3	7239709
ENSG00000118816	CCNI	7236467
ENSG00000153187	HNRNPU	7228629
ENSG00000117523	PRRC2C	7209578
ENSG00000144674	GOLGA4	7206122
ENSG00000101745	ANKRD12	7195179
ENSG00000163539	CLASP2	7166938
ENSG00000187109	NAP1L1	7155152
ENSG00000114857	NKTR	7155142
ENSG00000167978	SRRM2	7150288
ENSG00000137818	RPLP1	7130630
ENSG00000113712	CSNK1A1	7100090
ENSG00000124788	ATXN1	7090746
ENSG00000152061	RABGAP1L	7087587
ENSG00000184009	ACTG1	7075115
ENSG00000084676	NCOA1	7070059
ENSG00000181722	ZBTB20	7068354
ENSG00000150991	UBC	7067438
ENSG00000164924	YWHAZ	7066351
ENSG00000069667	RORA	7059219
ENSG00000141027	NCOR1	7058981
ENSG00000078674	PCM1	7054868
ENSG00000164190	NIPBL	7053982
ENSG00000135250	SRPK2	7052058
ENSG00000075151	EIF4G3	7039623
ENSG00000171634	BPTF	7016325
