gene_id	gene_name	number_of_cells_expressed
ENSG00000167996	FTH1	12242643
ENSG00000108654	DDX5	11645124
ENSG00000075624	ACTB	11500004
ENSG00000198804	MT-CO1	11200611
ENSG00000122566	HNRNPA2B1	11195064
ENSG00000080824	HSP90AA1	11128547
ENSG00000198938	MT-CO3	11092171
ENSG00000173812	EIF1	11021374
ENSG00000087086	FTL	10995539
ENSG00000136156	ITM2B	10957035
ENSG00000111640	GAPDH	10953216
ENSG00000198668	CALM1	10857381
ENSG00000187514	PTMA	10847143
ENSG00000189403	HMGB1	10829151
ENSG00000198712	MT-CO2	10690439
ENSG00000244754	N4BP2L2	10682074
ENSG00000167526	RPL13	10624017
ENSG00000100201	DDX17	10580770
ENSG00000198886	MT-ND4	10574195
ENSG00000147403	RPL10	10514888
ENSG00000198899	MT-ATP6	10458779
ENSG00000132424	PNISR	10452279
ENSG00000131051	RBM39	10448611
ENSG00000198727	MT-CYB	10406686
ENSG00000137818	RPLP1	10275042
ENSG00000205542	TMSB4X	10076272
ENSG00000197756	RPL37A	10028984
ENSG00000096384	HSP90AB1	10023499
ENSG00000115310	RTN4	10022457
ENSG00000159140	SON	10008979
ENSG00000152795	HNRNPDL	10006074
ENSG00000133112	TPT1	9984540
ENSG00000100650	SRSF5	9984211
ENSG00000156508	EEF1A1	9971392
ENSG00000108107	RPL28	9939084
ENSG00000109332	UBE2D3	9889740
ENSG00000087460	GNAS	9888475
ENSG00000099622	CIRBP	9879880
ENSG00000144713	RPL32	9876589
ENSG00000109475	RPL34	9872874
ENSG00000143947	RPS27A	9866964
ENSG00000150991	UBC	9847180
ENSG00000184009	ACTG1	9839993
ENSG00000134884	ARGLU1	9832705
ENSG00000115268	RPS15	9800452
ENSG00000122406	RPL5	9786019
ENSG00000138326	RPS24	9785450
ENSG00000174748	RPL15	9784998
ENSG00000142676	RPL11	9751031
ENSG00000118816	CCNI	9730861
ENSG00000198840	MT-ND3	9701361
ENSG00000171988	JMJD1C	9684376
ENSG00000142937	RPS8	9675866
ENSG00000070756	PABPC1	9667506
ENSG00000063177	RPL18	9643975
ENSG00000100354	TNRC6B	9643004
ENSG00000089009	RPL6	9628473
ENSG00000132475	H3-3B	9602218
ENSG00000149273	RPS3	9601053
ENSG00000164587	RPS14	9597695
ENSG00000188846	RPL14	9583120
ENSG00000198888	MT-ND1	9567897
ENSG00000145592	RPL37	9551707
ENSG00000100316	RPL3	9538311
ENSG00000122545	SEPTIN7	9517654
ENSG00000005483	KMT2E	9510347
ENSG00000092199	HNRNPC	9502131
ENSG00000152601	MBNL1	9474684
ENSG00000156482	RPL30	9466637
ENSG00000108298	RPL19	9407851
ENSG00000116754	SRSF11	9405095
ENSG00000177600	RPLP2	9393026
ENSG00000187109	NAP1L1	9374370
ENSG00000171863	RPS7	9361175
ENSG00000108848	LUC7L3	9342338
ENSG00000233927	RPS28	9339115
ENSG00000164924	YWHAZ	9325240
ENSG00000148303	RPL7A	9298737
ENSG00000198763	MT-ND2	9282352
ENSG00000161016	RPL8	9280171
ENSG00000133872	SARAF	9266890
ENSG00000034510	TMSB10	9264209
ENSG00000196531	NACA	9251525
ENSG00000198034	RPS4X	9209114
ENSG00000177954	RPS27	9191477
ENSG00000153187	HNRNPU	9189478
ENSG00000182899	RPL35A	9179678
ENSG00000109046	WSB1	9163200
ENSG00000112306	RPS12	9154473
ENSG00000105372	RPS19	9138064
ENSG00000117523	PRRC2C	9125705
ENSG00000167978	SRRM2	9118244
ENSG00000114391	RPL24	9112186
ENSG00000149806	FAU	9107642
ENSG00000162434	JAK1	9100884
ENSG00000186468	RPS23	9097846
ENSG00000131143	COX4I1	9038100
ENSG00000137154	RPS6	8996630
ENSG00000048740	CELF2	8966475
ENSG00000101745	ANKRD12	8958074
ENSG00000172757	CFL1	8955508
ENSG00000145425	RPS3A	8953119
ENSG00000122026	RPL21	8945381
ENSG00000162244	RPL29	8936929
ENSG00000127914	AKAP9	8921458
ENSG00000126777	KTN1	8902395
ENSG00000197746	PSAP	8880666
ENSG00000161970	RPL26	8874186
ENSG00000085224	ATRX	8872752
ENSG00000142541	RPL13A	8870718
ENSG00000168028	RPSA	8842208
ENSG00000229117	RPL41	8826892
ENSG00000156976	EIF4A2	8826864
ENSG00000127603	MACF1	8824672
ENSG00000140988	RPS2	8822912
ENSG00000089280	FUS	8812272
ENSG00000054267	ARID4B	8810541
ENSG00000113558	SKP1	8808513
ENSG00000049618	ARID1B	8794427
ENSG00000110700	RPS13	8780355
ENSG00000182670	TTC3	8766812
ENSG00000116560	SFPQ	8721940
ENSG00000213741	RPS29	8720320
ENSG00000130255	RPL36	8712167
ENSG00000169567	HINT1	8708514
ENSG00000163682	RPL9	8690136
ENSG00000115464	USP34	8688752
ENSG00000198755	RPL10A	8680621
ENSG00000005810	MYCBP2	8669535
ENSG00000116539	ASH1L	8662970
ENSG00000147649	MTDH	8633650
ENSG00000142599	RERE	8626295
ENSG00000170889	RPS9	8619097
ENSG00000185787	MORF4L1	8613139
ENSG00000166710	B2M	8595752
ENSG00000127184	COX7C	8582907
ENSG00000204628	RACK1	8579588
ENSG00000114857	NKTR	8578798
ENSG00000136942	RPL35	8577483
ENSG00000140319	SRP14	8576830
ENSG00000166913	YWHAB	8571860
ENSG00000131507	NDFIP1	8554065
ENSG00000113712	CSNK1A1	8549575
ENSG00000141027	NCOR1	8543213
ENSG00000177200	CHD9	8542156
ENSG00000139644	TMBIM6	8528107
ENSG00000196262	PPIA	8525692
ENSG00000075292	ZNF638	8520208
ENSG00000171735	CAMTA1	8508109
ENSG00000197111	PCBP2	8502572
ENSG00000092841	MYL6	8496363
ENSG00000008952	SEC62	8490137
ENSG00000168066	SF1	8472766
ENSG00000055609	KMT2C	8470688
ENSG00000105193	RPS16	8464693
ENSG00000070831	CDC42	8453376
ENSG00000114861	FOXP1	8446540
ENSG00000198242	RPL23A	8431469
ENSG00000077549	CAPZB	8418194
ENSG00000144674	GOLGA4	8410591
ENSG00000123349	PFDN5	8401457
ENSG00000118181	RPS25	8398452
ENSG00000119707	RBM25	8393331
ENSG00000115760	BIRC6	8392851
ENSG00000115977	AAK1	8390998
ENSG00000163466	ARPC2	8383715
ENSG00000067225	PKM	8360595
ENSG00000134419	RPS15A	8347424
ENSG00000123066	MED13L	8345084
ENSG00000167658	EEF2	8344354
ENSG00000172809	RPL38	8320091
ENSG00000170315	UBB	8320016
ENSG00000071082	RPL31	8319651
ENSG00000124831	LRRFIP1	8318026
ENSG00000117616	RSRP1	8312379
ENSG00000120071	KANSL1	8304155
ENSG00000171634	BPTF	8292472
ENSG00000105640	RPL18A	8290746
ENSG00000069275	NUCKS1	8286745
ENSG00000078674	PCM1	8280293
ENSG00000232112	TMA7	8277717
ENSG00000089220	PEBP1	8271267
ENSG00000197958	RPL12	8264217
ENSG00000189043	NDUFA4	8256859
ENSG00000164190	NIPBL	8247663
ENSG00000123416	TUBA1B	8239166
ENSG00000167283	ATP5MG	8238637
ENSG00000171858	RPS21	8233536
ENSG00000069667	RORA	8216681
ENSG00000165119	HNRNPK	8216656
ENSG00000156467	UQCRB	8213864
ENSG00000221983	UBA52	8207182
ENSG00000062194	GPBP1	8198224
ENSG00000140264	SERF2	8194508
ENSG00000181722	ZBTB20	8191045
ENSG00000169045	HNRNPH1	8190283
ENSG00000089157	RPLP0	8183320
ENSG00000147604	RPL7	8181712
ENSG00000135250	SRPK2	8176277
ENSG00000156639	ZFAND3	8171106
ENSG00000152061	RABGAP1L	8170171
ENSG00000173575	CHD2	8167293
ENSG00000198786	MT-ND5	8166960
ENSG00000101558	VAPA	8162670
ENSG00000231500	RPS18	8149277
ENSG00000007168	PAFAH1B1	8142731
ENSG00000170144	HNRNPA3	8140521
ENSG00000167522	ANKRD11	8119007
ENSG00000196405	EVL	8106793
ENSG00000129003	VPS13C	8097718
ENSG00000113387	SUB1	8088638
ENSG00000171530	TBCA	8086284
ENSG00000160584	SIK3	8086221
ENSG00000196776	CD47	8082500
ENSG00000142534	RPS11	8076126
ENSG00000083845	RPS5	8066637
ENSG00000141002	TCF25	8054053
ENSG00000120616	EPC1	8051539
ENSG00000151914	DST	8048282
ENSG00000146247	PHIP	8039326
ENSG00000143933	CALM2	8028652
ENSG00000004534	RBM6	8021750
ENSG00000188994	ZNF292	8007512
ENSG00000106052	TAX1BP1	7990138
ENSG00000142192	APP	7988818
ENSG00000138814	PPP3CA	7977552
ENSG00000104388	RAB2A	7973889
ENSG00000174444	RPL4	7939447
ENSG00000127483	HP1BP3	7931611
ENSG00000147548	NSD3	7925301
ENSG00000009307	CSDE1	7921648
ENSG00000101596	SMCHD1	7920729
ENSG00000079246	XRCC5	7918064
ENSG00000095787	WAC	7916595
ENSG00000110696	C11orf58	7916369
ENSG00000186566	GPATCH8	7907911
ENSG00000130522	JUND	7903796
ENSG00000144224	UBXN4	7901779
ENSG00000163539	CLASP2	7897630
ENSG00000090905	TNRC6A	7893181
ENSG00000104408	EIF3E	7892742
ENSG00000141298	SSH2	7890796
ENSG00000124788	ATXN1	7877758
ENSG00000220205	VAMP2	7876218
ENSG00000084676	NCOA1	7864595
ENSG00000075151	EIF4G3	7861133
ENSG00000164548	TRA2A	7857388
ENSG00000153310	CYRIB	7857325
ENSG00000115875	SRSF7	7846672
ENSG00000078369	GNB1	7846477
ENSG00000116251	RPL22	7836138
ENSG00000131469	RPL27	7835418
ENSG00000133226	SRRM1	7825558
ENSG00000133318	RTN3	7822936
