numeric_index	categorical_value
0	B cell
1	B-1 B cell
2	B-1a B cell
3	B-1b B cell
4	B-2 B cell
5	BEST4+ intestinal epithelial cell, human
6	Bergmann glial cell
7	CD14-low, CD16-positive monocyte
8	CD14-positive monocyte
9	CD14-positive, CD16-negative classical monocyte
10	CD14-positive, CD16-positive monocyte
11	CD141-positive myeloid dendritic cell
12	CD16-negative, CD56-bright natural killer cell, human
13	CD16-positive, CD56-dim natural killer cell, human
14	CD1c-positive myeloid dendritic cell
15	CD34-positive, CD38-negative hematopoietic stem cell
16	CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human
17	CD4-positive helper T cell
18	CD4-positive, CD25-positive, alpha-beta regulatory T cell
19	CD4-positive, alpha-beta T cell
20	CD4-positive, alpha-beta cytotoxic T cell
21	CD4-positive, alpha-beta memory T cell
22	CD4-positive, alpha-beta thymocyte
23	CD8-alpha alpha positive, gamma-delta intraepithelial T cell
24	CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell
25	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell
26	CD8-positive, alpha-beta T cell
27	CD8-positive, alpha-beta cytokine secreting effector T cell
28	CD8-positive, alpha-beta cytotoxic T cell
29	CD8-positive, alpha-beta memory T cell
30	CD8-positive, alpha-beta memory T cell, CD45RO-positive
31	CD8-positive, alpha-beta thymocyte
32	CNS interneuron
33	Cajal-Retzius cell
34	DN1 thymic pro-T cell
35	DN3 thymocyte
36	DN4 thymocyte
37	GABAergic amacrine cell
38	GABAergic interneuron
39	GABAergic neuron
40	GIP cell
41	H1 horizontal cell
42	H2 horizontal cell
43	Hofbauer cell
44	ILC1, human
45	IgA plasma cell
46	IgA plasmablast
47	IgG memory B cell
48	IgG plasma cell
49	IgG plasmablast
50	IgG-negative class switched memory B cell
51	IgM plasma cell
52	Kupffer cell
53	L2/3 intratelencephalic projecting glutamatergic neuron
54	L2/3-6 intratelencephalic projecting glutamatergic neuron
55	L5 extratelencephalic projecting glutamatergic cortical neuron
56	L5/6 near-projecting glutamatergic neuron of the primary motor cortex
57	L6 corticothalamic-projecting glutamatergic cortical neuron
58	L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
59	L6b glutamatergic cortical neuron
60	Langerhans cell
61	Leydig cell
62	M cell of gut
63	MHC-II-positive classical monocyte
64	Merkel cell
65	Mueller cell
66	NKp44-negative group 3 innate lymphoid cell, human
67	NKp44-positive group 3 innate lymphoid cell, human
68	OFF-bipolar cell
69	OFFx cell
70	ON-bipolar cell
71	ON-blue cone bipolar cell
72	P/D1 enteroendocrine cell
73	PP cell
74	Purkinje cell
75	S cone cell
76	Schwann cell
77	Schwann cell precursor
78	Sertoli cell
79	T cell
80	T follicular helper cell
81	T follicular regulatory cell
82	T-helper 1 cell
83	T-helper 17 cell
84	T-helper 2 cell
85	T-helper 22 cell
86	Tc1 cell
87	abnormal cell
88	absorptive cell
89	acinar cell
90	acinar cell of salivary gland
91	activated CD4-positive, alpha-beta T cell
92	activated CD4-positive, alpha-beta T cell, human
93	activated CD8-positive, alpha-beta T cell
94	activated CD8-positive, alpha-beta T cell, human
95	activated type II NK T cell
96	adipocyte
97	adipocyte of breast
98	adipocyte of epicardial fat of left ventricle
99	adventitial cell
100	airway submucosal gland duct basal cell
101	alpha-beta T cell
102	alternatively activated macrophage
103	alveolar macrophage
104	alveolar type 1 fibroblast cell
105	alveolar type 2 fibroblast cell
106	amacrine cell
107	anterior lens cell
108	astrocyte
109	astrocyte of the cerebral cortex
110	basal cell
111	basal cell of epidermis
112	basal cell of epithelium of trachea
113	basal cell of prostate epithelium
114	basal epithelial cell of prostatic duct
115	basal epithelial cell of tracheobronchial tree
116	basophil
117	basophil mast progenitor cell
118	bipolar neuron
119	bladder urothelial cell
120	blood cell
121	blood vessel endothelial cell
122	blood vessel smooth muscle cell
123	bone marrow cell
124	brain vascular cell
125	brainstem motor neuron
126	bronchial epithelial cell
127	bronchial goblet cell
128	bronchial smooth muscle cell
129	bronchus fibroblast of lung
130	brush cell
131	brush cell of trachea
132	brush cell of trachebronchial tree
133	capillary endothelial cell
134	cardiac endothelial cell
135	cardiac mesenchymal cell
136	cardiac muscle cell
137	cardiac muscle myoblast
138	cardiac neuron
139	caudal ganglionic eminence derived GABAergic cortical interneuron
140	cell of skeletal muscle
141	central memory CD4-positive, alpha-beta T cell
142	central memory CD8-positive, alpha-beta T cell
143	central nervous system macrophage
144	centrilobular region hepatocyte
145	centroblast
146	centrocyte
147	cerebellar granule cell
148	cerebellar granule cell precursor
149	cerebral cortex GABAergic interneuron
150	cerebral cortex endothelial cell
151	chandelier cell
152	chandelier pvalb GABAergic cortical interneuron
153	cholangiocyte
154	chondrocyte
155	chorionic trophoblast cell
156	choroid plexus epithelial cell
157	chromaffin cell
158	ciliary muscle cell
159	ciliated cell
160	ciliated columnar cell of tracheobronchial tree
161	ciliated epithelial cell
162	class switched memory B cell
163	classical monocyte
164	club cell
165	collagen secreting cell
166	colon epithelial cell
167	colon goblet cell
168	colon macrophage
169	columnar/cuboidal epithelial cell
170	common dendritic progenitor
171	common lymphoid progenitor
172	common myeloid progenitor
173	cone retinal bipolar cell
174	conjunctival epithelial cell
175	connective tissue cell
176	contractile cell
177	conventional dendritic cell
178	cord blood hematopoietic stem cell
179	corneal endothelial cell
180	corneal epithelial cell
181	cortical cell of adrenal gland
182	cortical interneuron
183	cortical thymic epithelial cell
184	corticothalamic-projecting glutamatergic cortical neuron
185	cytotoxic T cell
186	decidual cell
187	decidual natural killer cell, human
188	dendritic cell
189	dendritic cell, human
190	dermis microvascular lymphatic vessel endothelial cell
191	deuterosomal cell
192	differentiation-committed oligodendrocyte precursor
193	diffuse bipolar 1 cell
194	diffuse bipolar 2 cell
195	diffuse bipolar 3a cell
196	diffuse bipolar 3b cell
197	diffuse bipolar 4 cell
198	diffuse bipolar 6 cell
199	direct pathway medium spiny neuron
200	double negative T regulatory cell
201	double negative thymocyte
202	double-positive, alpha-beta thymocyte
203	duct epithelial cell
204	duodenum glandular cell
205	early T lineage precursor
206	early lymphoid progenitor
207	early promyelocyte
208	effector CD4-positive, alpha-beta T cell
209	effector CD8-positive, alpha-beta T cell
210	effector memory CD4-positive, alpha-beta T cell
211	effector memory CD8-positive, alpha-beta T cell
212	effector memory CD8-positive, alpha-beta T cell, terminally differentiated
213	elicited macrophage
214	embryonic fibroblast
215	embryonic stem cell
216	endocardial cell
217	endocrine cell
218	endosteal cell
219	endothelial cell
220	endothelial cell of artery
221	endothelial cell of hepatic sinusoid
222	endothelial cell of lymphatic vessel
223	endothelial cell of pericentral hepatic sinusoid
224	endothelial cell of periportal hepatic sinusoid
