h5ad_var	index
assay	0
cell_type	1
tissue_general	2
sex	3
TSPAN6	4
TNMD	5
DPM1	6
SCYL3	7
C1orf112	8
FGR	9
CFH	10
FUCA2	11
GCLC	12
NFYA	13
STPG1	14
NIPAL3	15
LAS1L	16
ENPP4	17
SEMA3F	18
CFTR	19
ANKIB1	20
CYP51A1	21
KRIT1	22
RAD52	23
BAD	24
LAP3	25
CD99_ENSG00000002586	26
HS3ST1	27
AOC1	28
WNT16	29
HECW1	30
MAD1L1	31
LASP1	32
SNX11	33
TMEM176A	34
M6PR	35
KLHL13	36
CYP26B1	37
ICA1	38
DBNDD1	39
ALS2	40
CASP10	41
CFLAR	42
TFPI	43
NDUFAF7	44
RBM5	45
MTMR7	46
SLC7A2	47
ARF5	48
SARM1	49
POLDIP2	50
PLXND1	51
AK2	52
CD38	53
FKBP4	54
KDM1A	55
RBM6	56
CAMKK1	57
RECQL	58
VPS50	59
HSPB6	60
ARHGAP33	61
NDUFAB1	62
PDK4	63
SLC22A16	64
ZMYND10	65
ABCB5	66
ARX	67
SLC25A13	68
ST7	69
CDC27	70
SLC4A1	71
CALCR	72
HCCS	73
DVL2	74
PRSS22	75
UPF1	76
SKAP2	77
SLC25A5	78
MCUB	79
HOXA11	80
POLR2J	81
DHX33	82
MEOX1	83
THSD7A	84
LIG3	85
RPAP3	86
ACSM3	87
REXO5	88
CIAPIN1	89
SPPL2B	90
ATOSB	91
COPZ2	92
PRKAR2B	93
MSL3	94
CREBBP	95
TSPOAP1	96
MPO	97
PON1	98
GCFC2	99
WDR54	100
CROT	101
ABCB4	102
KMT2E	103
RHBDD2	104
SOX8	105
IBTK	106
ZNF195	107
MYCBP2	108
FBXL3	109
ITGAL	110
PDK2	111
ITGA3	112
ZFX	113
LAMP2	114
ITGA2B	115
ASB4	116
GDE1	117
REX1BD	118
CRLF1	119
OSBPL7	120
TMEM98	121
YBX2	122
MAP3K14	123
ABCC8	124
CACNG3	125
TMEM132A	126
AP2B1	127
TAC1	128
ZNF263	129
